ID,Title,Description,Access,Videos
playlist1,"תכנות עם אנתוני","אנתוני יסביר קצת על דברים בסיסיים בתכנות",1,video32|video33|video34|video35|video36|video37|video38|video39|video40|video41|video42|video43
playlist2,"DrupalCamp IL 2012","הכנס הראשון בארץ של דרופל.",1,Video9|Video10|Video11|Video12|Video13|Video14|Video15|Video16
playlist3,"DrupalCamp IL 2013","הכנס השני בארץ של דרופל",1,video17|video18|video19|video20|video21|video22|video23|video24|video25|video26|video27|video28|video29|video30|video31
