ID,Name,Description
wiki_category1,Drupal 6,
wiki_category2,Drupal 7,
wiki_category3,Drupal 8,
wiki_category4,Development,
wiki_category5,GIT workflow,
wiki_category6,Best practices,
wiki_category7,Commerce,
wiki_category8,Organic groups,
wiki_category9,Panels,
wiki_category10,Views,
wiki_category11,Features,
wiki_category12,Java script,
